,head,tail,year
638,1564708,1085770,2014
639,1157806,1574648,2014
640,1518715,1412109,2015
641,920148,1168197,2014
642,1116942,1101169,2015
643,1302324,1578776,2015
644,1593034,1182129,2015
645,915389,1547063,2014
646,1411303,1485527,2015
647,1094831,1292426,2015
648,40704,1431897,2014
649,92230,934547,2015
650,1318568,896400,2014
651,1094285,354655,2014
652,897893,95047,2014
653,1006837,1022652,2014
654,1432150,1126741,2014
655,850693,1009356,2014
656,29534,34408,2014
657,1393726,1495925,2014
658,1506307,1410838,2014
659,1506307,888228,2014
660,1506307,1135017,2014
661,1038205,927807,2015
662,1156375,1292426,2014
663,832428,1232241,2015
664,935703,34408,2015
665,1334814,1349454,2015
666,1357371,1502012,2014
667,887343,1284506,2014
668,806279,1492324,2015
669,66382,1116755,2014
670,915913,1315695,2015
671,1398987,1142512,2014
672,1255474,1322866,2014
673,868857,102379,2014
674,1275283,1424847,2015
